chamber,icpsr,lastname,firstname,state_abbrev,n_speeches
senate,751,blackburn,joseph,KY,519
senate,3709,gorman,arthur,MD,507
senate,6682,morgan,john,AL,445
senate,1641,chandler,william,NH,386
senate,7482,platt,orville,CT,347
senate,1425,call,wilkinson,FL,317
senate,3765,gray,george,DE,310
senate,1343,butler,marion,NC,309
senate,6565,mitchell,john,OR,276
senate,3532,george,james,MS,265
senate,4462,hoar,george,MA,245
senate,9246,teller,henry,CO,245
senate,3439,gallinger,jacob,NH,235
senate,10302,wolcott,edward,CO,230
senate,7179,palmer,john,IL,206
house,8244,sayers,joseph,TX,823
house,2606,dingley,nelson,ME,526
house,7431,pickler,john,SD,501
house,7877,richardson,james,TN,424
house,2631,dockery,alexander,MO,358
house,4306,henderson,david,IA,297
house,1483,cannon,joseph,IL,289
house,813,boatner,charles,LA,233
house,4348,hepburn,william,IA,182
house,5717,livingston,leonidas,GA,176
house,3855,grosvenor,charles,OH,165
house,1595,catchings,thomas,MS,159
house,9836,warner,vespasian,IL,146
house,7249,patterson,josiah,TN,144
house,9638,van voorhis,henry,OH,140
